,datetime,site,geometry,SWE,SWE_units,MAX AIR TEMP,MAX AIR TEMP_units,PRECIPITATION,PRECIPITATION_units,datasource
42,1990-02-12 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),4.1,in,37.04,degF,0.2,in,NRCS
43,1990-02-13 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),4.2,in,37.4,degF,0.0,in,NRCS
44,1990-02-14 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),4.2,in,16.7,degF,0.2,in,NRCS
45,1990-02-15 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),4.4,in,7.88,degF,0.1,in,NRCS
46,1990-02-16 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),4.5,in,12.2,degF,0.2,in,NRCS
47,1990-02-17 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),4.7,in,8.6,degF,0.9,in,NRCS
48,1990-02-18 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),5.4,in,22.82,degF,0.2,in,NRCS
49,1990-02-19 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),5.6,in,32.18,degF,0.1,in,NRCS
50,1990-02-20 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),5.7,in,35.78,degF,0.0,in,NRCS
51,1990-02-21 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),5.7,in,25.16,degF,0.0,in,NRCS
52,1990-02-22 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),5.7,in,32.54,degF,0.0,in,NRCS
53,1990-02-23 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),5.7,in,35.42,degF,0.0,in,NRCS
54,1990-02-24 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),5.7,in,41.18,degF,0.1,in,NRCS
55,1990-02-25 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),5.7,in,40.82,degF,0.0,in,NRCS
56,1990-02-26 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),5.7,in,23.18,degF,0.0,in,NRCS
57,1990-02-27 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),5.7,in,38.48,degF,0.0,in,NRCS
58,1990-02-28 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),5.7,in,36.14,degF,0.0,in,NRCS
59,1990-03-01 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),5.7,in,36.14,degF,0.0,in,NRCS
